time, model::Switch.Ground1.p.u[REAL], model::HeatCapacity1.p.T[REAL], model::Ground.p1.u[REAL], model::Switch.Ground1.p1.u[REAL], model::Ground.p2.u[REAL], model::Ramp.stop_time[REAL], model::Switch.Ground1.p.i[REAL], model::Ground.p1.i[REAL], model::Switch.Ground1.p1.i[REAL], model::Ground.p2.i[REAL], model::HeatCapacity1.E[REAL], model::Switch.Node1.p2.u[REAL], model::HeatCapacity1.p1.T[REAL], model::Switch.Resistance12.vt[REAL], model::Ground.p.u[REAL], model::Ground.p.i[REAL], model::Thermistor.alpha[REAL], model::HeatCapacity1.p2.T[REAL], model::Ramp.slope[REAL], model::ThermalConductor.p_low.dQ[REAL], model::HeatCapacity1.p3.T[REAL], model::Switch.Ground2.p.i[REAL], model::HeatCapacity1.p1.dQ[REAL], model::Switch.R1.p.u[REAL], model::HeatCapacity1.p2.dQ[REAL], model::HeatCapacity1.p3.dQ[REAL], model::HeatCapacity1.C[REAL], model::Switch.Ground2.p1.u[REAL], model::HeatCapacity1.T0[REAL], model::Switch.Ground2.p.u[REAL], model::Switch.input[REAL], model::OnOffController.input[REAL], model::OnOffController.output[REAL], model::Switch.R1.p_low.u[REAL], model::OnOffController.reference[REAL], model::OnOffController.bandwidth[REAL], model::Switch.Resistance12.Roff[REAL], model::Switch.Node1.p1.i[REAL], model::Ramp.output[REAL], model::Switch.Node2.p3.i[REAL], model::ZeroJunction.p1.dQ[REAL], model::Ramp.start_time[REAL], model::Splitter2.output1[REAL], model::Switch.Node2.p2.i[REAL], model::Ramp.offset[REAL], model::Switch.Node2.p1.u[REAL], model::Splitter2.output2[REAL], model::Splitter1.input[REAL], model::Splitter1.output1[REAL], model::Splitter1.output2[REAL], model::Switch.R1.p_high.i[REAL], model::ThermalConductor.p_high.T[REAL], model::Splitter2.input[REAL], model::Switch.R1.R[REAL], model::Switch.Ground2.p1.i[REAL], model::Switch.Node1.p1.u[REAL], model::Switch.Node1.p3.u[REAL], model::Switch.Node1.p2.i[REAL], model::Switch.Node2.p2.u[REAL], model::Switch.Node2.p3.u[REAL], model::Switch.Node2.p1.i[REAL], model::Switch.R1.p.i[REAL], model::Switch.R1.p_high.u[REAL], model::Switch.R1.p_low.i[REAL], model::Switch.R2.p.u[REAL], model::Switch.R2.p.i[REAL], model::Switch.R2.p_high.u[REAL], model::Switch.R2.p_high.i[REAL], model::Switch.R2.p_low.u[REAL], model::Switch.R2.p_low.i[REAL], model::Switch.R2.R[REAL], model::Switch.Resistance12.p.u[REAL], model::Switch.Resistance12.p.i[REAL], model::Switch.Resistance12.p_high.u[REAL], model::Switch.Resistance12.p_high.i[REAL], model::Switch.Resistance12.p_low.u[REAL], model::Switch.Resistance12.p_low.i[REAL], model::Switch.Resistance12.input[REAL], model::Switch.Resistance12.Ron[REAL], model::Switch.Resistance12.R[REAL], model::Thermistor.R[REAL], model::Switch.p2.u[REAL], model::Switch.p2.i[REAL], model::Switch.p1.u[REAL], model::Switch.p1.i[REAL], model::TemperatureSource.p.T[REAL], model::TemperatureSource.p.dQ[REAL], model::Thermistor.p_th.dQ[REAL], model::TemperatureSource.T[REAL], model::ThermalConductor.p.T[REAL], model::ThermalConductor.p.dQ[REAL], model::ThermalConductor.p_high.dQ[REAL], model::ThermalConductor.p_low.T[REAL], model::ThermalConductor.G[REAL], model::Thermistor.p_el.u[REAL], model::Thermistor.p_el.i[REAL], model::Thermistor.p_el_high.u[REAL], model::Thermistor.p_el_high.i[REAL], model::Thermistor.p_el_low.u[REAL], model::Thermistor.p_el_low.i[REAL], model::Thermistor.p_th.T[REAL], model::Thermistor.R_ref[REAL], model::Thermistor.T_ref[REAL], model::VoltageSource.p.u[REAL], model::VoltageSource.p.i[REAL], model::VoltageSource.p_high.u[REAL], model::VoltageSource.p_high.i[REAL], model::VoltageSource.p_low.u[REAL], model::VoltageSource.p_low.i[REAL], model::VoltageSource.U[REAL], model::ZeroJunction.effort[REAL], model::ZeroJunction.p1.T[REAL], model::Temperature_Reference[REAL], model::Temperature_Room[REAL], model::HeatCapacity1.p.dQ[REAL], model::HeatCapacity1.p.dQ_int[REAL], model::HeatCapacity1.p.dQ_int_initial[REAL], model::Switch.Node1.p3.i[REAL], model::OnOffController.currentState[BOOL], model::OnOffController.newState[BOOL]
0, 0.000000, 298.000000, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.800000, 0.001019, 298.000000, 0.500000, 0.000000, -0.000002, 0.004000, 298.000000, 4.166670, -0.485000, 298.000000, 0.000000, -0.485000, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 298.000000, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 298.000000, 0.000100, 298.150000, 10.000000, 298.000000, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 298.000000, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.194000, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.485000, 0.000000, 293.150000, -4.850000, -0.485000, -0.485000, 298.000000, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 298.000000, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 298.000000, 298.000000, 298.150000, 298.000000, -0.485000, 0.000000, 0.000000, 0.000100, 0, 0
0.01, 0.000000, 297.951742, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.795174, 0.001019, 297.951742, 0.500000, 0.000000, -0.000002, 0.004000, 297.951742, 4.166670, -0.480174, 297.951742, 0.000000, -0.480174, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.951742, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.951742, 0.000100, 298.150000, 10.000000, 297.951742, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.951742, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.192070, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.480174, 0.000000, 293.150000, -4.801742, -0.480174, -0.480174, 297.951742, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.951742, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.951742, 297.951742, 298.150000, 297.951742, -0.480174, -0.004826, 0.000000, 0.000100, 0, 0
0.02, 0.000000, 297.903964, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.790396, 0.001019, 297.903964, 0.500000, 0.000000, -0.000002, 0.004000, 297.903964, 4.166670, -0.475396, 297.903964, 0.000000, -0.475396, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.903964, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.903964, 0.000100, 298.150000, 10.000000, 297.903964, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.903964, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.190159, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.475396, 0.000000, 293.150000, -4.753964, -0.475396, -0.475396, 297.903964, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.903964, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.903964, 297.903964, 298.150000, 297.903964, -0.475396, -0.009604, 0.000000, 0.000100, 0, 0
0.03, 0.000000, 297.856661, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.785666, 0.001019, 297.856661, 0.500000, 0.000000, -0.000002, 0.004000, 297.856661, 4.166670, -0.470666, 297.856661, 0.000000, -0.470666, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.856661, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.856661, 0.000100, 298.150000, 10.000000, 297.856661, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.856661, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.188266, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.470666, 0.000000, 293.150000, -4.706661, -0.470666, -0.470666, 297.856661, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.856661, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.856661, 297.856661, 298.150000, 297.856661, -0.470666, -0.014334, 0.000000, 0.000100, 0, 0
0.04, 0.000000, 297.809829, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.780983, 0.001019, 297.809829, 0.500000, 0.000000, -0.000002, 0.004000, 297.809829, 4.166670, -0.465983, 297.809829, 0.000000, -0.465983, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.809829, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.809829, 0.000100, 298.150000, 10.000000, 297.809829, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.809829, 5000000.000000, 0.000000, 0.001019, 0.001019, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001019, 0.000000, 0.001019, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998981, 0.000100, 10.000000, 0.000100, 0.001019, 0.000100, 0.000000, 0.000010, 100000.000000, 10.186393, 0.001019, 0.000100, 10.000000, 0.000102, 293.150000, -0.465983, 0.000000, 293.150000, -4.659829, -0.465983, -0.465983, 297.809829, 0.100000, 0.001019, 0.000100, 0.001019, 0.000100, 0.000000, 0.000100, 297.809829, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.809829, 297.809829, 298.150000, 297.809829, -0.465983, -0.019017, 0.000000, 0.000100, 0, 0
0.05, 0.000000, 297.763463, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.776346, 0.001018, 297.763463, 0.500000, 0.000000, -0.000002, 0.004000, 297.763463, 4.166670, -0.461346, 297.763463, 0.000000, -0.461346, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.763463, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.763463, 0.000100, 298.150000, 10.000000, 297.763463, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.763463, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.184539, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.461346, 0.000000, 293.150000, -4.613463, -0.461346, -0.461346, 297.763463, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.763463, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.763463, 297.763463, 298.150000, 297.763463, -0.461346, -0.023654, 0.000000, 0.000100, 0, 0
0.06, 0.000000, 297.717558, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.771756, 0.001018, 297.717558, 0.500000, 0.000000, -0.000002, 0.004000, 297.717558, 4.166670, -0.456756, 297.717558, 0.000000, -0.456756, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.717558, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.717558, 0.000100, 298.150000, 10.000000, 297.717558, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.717558, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.182702, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.456756, 0.000000, 293.150000, -4.567558, -0.456756, -0.456756, 297.717558, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.717558, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.717558, 297.717558, 298.150000, 297.717558, -0.456756, -0.028244, 0.000000, 0.000100, 0, 0
0.07, 0.000000, 297.672110, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.767211, 0.001018, 297.672110, 0.500000, 0.000000, -0.000002, 0.004000, 297.672110, 4.166670, -0.452211, 297.672110, 0.000000, -0.452211, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.672110, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.672110, 0.000100, 298.150000, 10.000000, 297.672110, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.672110, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.180884, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.452211, 0.000000, 293.150000, -4.522110, -0.452211, -0.452211, 297.672110, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.672110, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.672110, 297.672110, 298.150000, 297.672110, -0.452211, -0.032789, 0.000000, 0.000100, 0, 0
0.08, 0.000000, 297.627114, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.762711, 0.001018, 297.627114, 0.500000, 0.000000, -0.000002, 0.004000, 297.627114, 4.166670, -0.447711, 297.627114, 0.000000, -0.447711, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.627114, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.627114, 0.000100, 298.150000, 10.000000, 297.627114, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.627114, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.179085, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.447711, 0.000000, 293.150000, -4.477114, -0.447711, -0.447711, 297.627114, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.627114, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.627114, 297.627114, 298.150000, 297.627114, -0.447711, -0.037289, 0.000000, 0.000100, 0, 0
0.09, 0.000000, 297.582566, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.758257, 0.001018, 297.582566, 0.500000, 0.000000, -0.000002, 0.004000, 297.582566, 4.166670, -0.443257, 297.582566, 0.000000, -0.443257, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.582566, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.582566, 0.000100, 298.150000, 10.000000, 297.582566, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.582566, 5000000.000000, 0.000000, 0.001018, 0.001018, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001018, 0.000000, 0.001018, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998982, 0.000100, 10.000000, 0.000100, 0.001018, 0.000100, 0.000000, 0.000010, 100000.000000, 10.177303, 0.001018, 0.000100, 10.000000, 0.000102, 293.150000, -0.443257, 0.000000, 293.150000, -4.432566, -0.443257, -0.443257, 297.582566, 0.100000, 0.001018, 0.000100, 0.001018, 0.000100, 0.000000, 0.000100, 297.582566, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.582566, 297.582566, 298.150000, 297.582566, -0.443257, -0.041743, 0.000000, 0.000100, 0, 0
0.1, 0.000000, 297.538462, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.753846, 0.001017, 297.538462, 0.500000, 0.000000, -0.000002, 0.004000, 297.538462, 4.166670, -0.438846, 297.538462, 0.000000, -0.438846, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.538462, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.538462, 0.000100, 298.150000, 10.000000, 297.538462, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.538462, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.175538, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.438846, 0.000000, 293.150000, -4.388462, -0.438846, -0.438846, 297.538462, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.538462, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.538462, 297.538462, 298.150000, 297.538462, -0.438846, -0.046154, 0.000000, 0.000100, 0, 0
0.11, 0.000000, 297.494796, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.749480, 0.001017, 297.494796, 0.500000, 0.000000, -0.000002, 0.004000, 297.494796, 4.166670, -0.434480, 297.494796, 0.000000, -0.434480, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.494796, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.494796, 0.000100, 298.150000, 10.000000, 297.494796, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.494796, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.173792, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.434480, 0.000000, 293.150000, -4.344796, -0.434480, -0.434480, 297.494796, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.494796, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.494796, 297.494796, 298.150000, 297.494796, -0.434479, -0.050520, 0.000000, 0.000100, 0, 0
0.12, 0.000000, 297.451564, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.745156, 0.001017, 297.451564, 0.500000, 0.000000, -0.000002, 0.004000, 297.451564, 4.166670, -0.430156, 297.451564, 0.000000, -0.430156, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.451564, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.451564, 0.000100, 298.150000, 10.000000, 297.451564, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.451564, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.172063, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.430156, 0.000000, 293.150000, -4.301564, -0.430156, -0.430156, 297.451564, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.451564, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.451564, 297.451564, 298.150000, 297.451564, -0.430156, -0.054844, 0.000000, 0.000100, 0, 0
0.13, 0.000000, 297.408763, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.740876, 0.001017, 297.408763, 0.500000, 0.000000, -0.000002, 0.004000, 297.408763, 4.166670, -0.425876, 297.408763, 0.000000, -0.425876, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.408763, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.408763, 0.000100, 298.150000, 10.000000, 297.408763, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.408763, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.170351, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.425876, 0.000000, 293.150000, -4.258763, -0.425876, -0.425876, 297.408763, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.408763, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.408763, 297.408763, 298.150000, 297.408763, -0.425876, -0.059124, 0.000000, 0.000100, 0, 0
0.14, 0.000000, 297.366388, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.736639, 0.001017, 297.366388, 0.500000, 0.000000, -0.000002, 0.004000, 297.366388, 4.166670, -0.421639, 297.366388, 0.000000, -0.421639, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.366388, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.366388, 0.000100, 298.150000, 10.000000, 297.366388, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.366388, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.168656, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.421639, 0.000000, 293.150000, -4.216388, -0.421639, -0.421639, 297.366388, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.366388, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.366388, 297.366388, 298.150000, 297.366388, -0.421639, -0.063361, 0.000000, 0.000100, 0, 0
0.15, 0.000000, 297.324434, 0.000000, 0.000000, 0.000000, 16.000000, 0.000002, 0.000100, 0.000002, 0.000102, 29.732443, 0.001017, 297.324434, 0.500000, 0.000000, -0.000002, 0.004000, 297.324434, 4.166670, -0.417443, 297.324434, 0.000000, -0.417443, 10.000000, 0.000000, 0.000000, 0.100000, 0.000000, 298.000000, 0.000000, 0.000000, 297.324434, 0.000000, 0.000000, 298.150000, 2.000000, 100000.000000, 0.000100, 298.150000, 0.000102, 0.000000, 8.000000, 297.324434, 0.000100, 298.150000, 10.000000, 297.324434, 298.150000, 298.150000, 298.150000, 0.000002, 293.150000, 297.324434, 5000000.000000, 0.000000, 0.001017, 0.001017, 0.000000, 10.000000, 10.000000, 0.000002, 0.000002, 10.000000, 0.000002, 0.001017, 0.000000, 0.001017, 0.000000, 0.000000, 0.000000, 5000000.000000, 9.998983, 0.000100, 10.000000, 0.000100, 0.001017, 0.000100, 0.000000, 0.000010, 100000.000000, 10.166977, 0.001017, 0.000100, 10.000000, 0.000102, 293.150000, -0.417443, 0.000000, 293.150000, -4.174434, -0.417443, -0.417443, 297.324434, 0.100000, 0.001017, 0.000100, 0.001017, 0.000100, 0.000000, 0.000100, 297.324434, 10.000000, 293.150000, 10.000000, 0.000102, 10.000000, 0.000102, 0.000000, 0.000102, 10.000000, 297.324434, 297.324434, 298.150000, 297.324434, -0.417443, -0.067557, 0.000000, 0.000100, 0, 0
